Select,[]
100 Up ,"[""City Bus Stand - PF 23 "", ""Palace Bus Stop "", ""Hardinge Circle "", ""Mysore Zoo "", ""Administrative Training Institute "", ""Jockey Quarters "", ""JC Nagar "", ""Tavare Katte "", ""Chamundi Hill "", ""Nandi "", ""Hosahundi "", ""Tripurasundari Temple "", ""Hosahundi "", ""Toll Gate "", ""Ganapathi Sachidananda Ashrama "", ""Gun House "", ""Hardinge Circle "", ""Mysore Rural Bus Stand "", ""KR Hospital "", ""Railway Station "", ""KR Hospital "", ""Dodda Gadiyara "", ""City Bus Stand ""]"
10A Up ,"[""JP Nagar Last Stop "", ""Police Booth "", ""Kavitha Bakery "", ""Gobli Mara "", ""Shanidevara Temple "", ""Maharshi Public School "", ""Ganesh Temple "", ""Sterling Talkies "", ""Mahalakshmi Stores "", ""Ramalingeshwara Temple "", ""Chamundipuram "", ""Five Light Circle "", ""Ashoka Circle "", ""RTO "", ""Ramaswamy Circle "", ""Maharani College "", ""Railway Station "", ""Dasappa Circle "", ""Akashavani "", ""Vonti Koppal Temple "", ""ESI Hospital "", ""PK Sanitorium "", ""Metagalli Police Station "", ""Sanjeevini Circle "", ""Basavanagudi "", ""State Bank of India "", ""Surya Bakery "", ""Abhishek Circle "", ""Made Gowda Circle "", ""CITB Choultry "", ""Mayura Circle "", ""Cauvery Circle "", ""Sankranthi Circle "", ""Kitturu Rani Chennamma Circle "", ""Laxmikantha Nagar "", ""Ganesh Temple "", ""Bharath Cancer Hospital "", ""Shobha Gate "", ""Infosys "", ""LnT ""]"
10A Down ,"[""LnT "", ""Infosys "", ""Shobha Gate "", ""Bharath Cancer Hospital "", ""Ganesh Temple "", ""Laxmikantha Nagar "", ""Kitturu Rani Chennamma Circle "", ""Sankranthi Circle "", ""Cauvery Circle "", ""Mayura Circle "", ""CITB Choultry "", ""Made Gowda Circle "", ""Abhishek Circle "", ""Surya Bakery "", ""State Bank of India "", ""Basavanagudi "", ""Sanjeevini Circle "", ""Metagalli Police Station "", ""PK Sanitorium "", ""ESI Hospital "", ""Vonti Koppal Temple "", ""Akashavani "", ""Dasappa Circle "", ""Railway Station "", ""Maharani College "", ""Ramaswamy Circle "", ""RTO "", ""Ashoka Circle "", ""Five Light Circle "", ""Chamundipuram "", ""St Marys Convent "", ""Karumariyamma Temple "", ""Sewage Farm "", ""Mahalakshmi Stores "", ""Sterling Talkies "", ""Ganesh Temple "", ""Maharshi Public School "", ""Shanidevara Temple "", ""Gobli Mara "", ""Kavitha Bakery "", ""Police Booth "", ""JP Nagar Last Stop ""]"
10C Up ,"[""JP Nagar Last Stop "", ""Kavitha Bakery "", ""Gobli Mara "", ""Shanidevara Temple "", ""Maharshi Public School "", ""Ganesh Temple "", ""Sterling Talkies "", ""Mahalakshmi Stores "", ""Ramalingeshwara Temple "", ""Chamundipuram "", ""Five Light Circle "", ""Nanju Malige "", ""Seetharanga Hospital "", ""Siddappa Square "", ""Vani Vilas Market "", ""Sanskrit Pathashale "", ""Kada Office"", ""Mysore Rural Bus Stand "", ""KR Hospital "", ""Railway Station "", ""Dasappa Circle "", ""Akashavani "", ""Vonti Koppal Temple "", ""ESI Hospital "", ""PK Sanitorium "", ""Metagalli Police Station "", ""Sanjeevini Circle "", ""Basavanagudi "", ""State Bank of India "", ""Surya Bakery "", ""Abhishek Circle "", ""Made Gowda Circle "", ""CITB Choultry "", ""Mayura Circle "", ""Cauvery Circle "", ""Sankranthi Circle "", ""Kitturu Rani Chennamma Circle "", ""Laxmikantha Nagar "", ""Ganesh Temple "", ""Bharath Cancer Hospital "", ""Shobha Gate "", ""Infosys "", ""LnT ""]"
10C Down ,"[""LnT "", ""Infosys "", ""Shobha Gate "", ""Bharath Cancer Hospital "", ""Ganesh Temple "", ""Laxmikantha Nagar "", ""Kitturu Rani Chennamma Circle "", ""Sankranthi Circle "", ""Cauvery Circle "", ""Mayura Circle "", ""CITB Choultry "", ""Made Gowda Circle "", ""Abhishek Circle "", ""Surya Bakery "", ""State Bank of India "", ""Basavanagudi "", ""Sanjeevini Circle "", ""Metagalli Police Station "", ""PK Sanitorium "", ""ESI Hospital "", ""Vonti Koppal Temple "", ""Akashavani "", ""Dasappa Circle "", ""Railway Station "", ""KR Hospital "", ""Dodda Gadiyara "", ""City Bus Stand - PF 12 "", ""Vani Vilas Market "", ""Siddappa Square "", ""Seetharanga Hospital "", ""Nanju Malige "", ""Galli Hotel "", ""Chamundipuram "", ""St Marys Convent "", ""Karumariyamma Temple "", ""Sewage Farm "", ""Mahalakshmi Stores "", ""Sterling Talkies "", ""Ganesh Temple "", ""Maharshi Public School "", ""Shanidevara Temple "", ""Gobli Mara "", ""Kavitha Bakery "", ""JP Nagar Last Stop ""]"
11 Up ,"[""Kada Office"", ""Vani Vilas Market "", ""Siddappa Square "", ""Seetharanga Hospital "", ""Nanju Malige "", ""Galli Hotel "", ""Chamundipuram "", ""St Marys Convent "", ""Karumariyamma Temple "", ""Sewage Farm "", ""Mahalakshmi Stores "", ""Sterling Talkies "", ""St Thomas School "", ""Bindu Bakery "", ""Vishveshwara Nagar "", ""Maharshi Public School "", ""Shanidevara Temple "", ""Gobli Mara "", ""Kavitha Bakery "", ""JP Nagar Last Stop ""]"
11 Down ,"[""JP Nagar Last Stop "", ""Kavitha Bakery "", ""Gobli Mara "", ""Shanidevara Temple "", ""Maharshi Public School "", ""Vishveshwara Nagar "", ""Bindu Bakery "", ""St Thomas School "", ""Sterling Talkies "", ""Mahalakshmi Stores "", ""Ramalingeshwara Temple "", ""Chamundipuram "", ""Five Light Circle "", ""Nanju Malige "", ""Seetharanga Hospital "", ""Siddappa Square "", ""Vani Vilas Market "", ""Sanskrit Pathashale "", ""Kada Office""]"
110 Up ,"[""City Bus Stand - PF 26"", ""Palace Bus Stop "", ""Mysore Rural Bus Stand "", ""Five Light Circle "", ""Vruddhashrama "", ""Udayagiri "", ""Shanthi Nagar Ground "", ""Central Hospital "", ""Sathagalli Bus Stand "", ""Bharath Nagar "", ""Rammanahalli "", ""Rammanahalli Bus Stand "", ""Kalisiddana Hundi ""]"
110 Down ,"[""Kalisiddana Hundi "", ""Rammanahalli Bus Stand "", ""Rammanahalli "", ""Bharath Nagar "", ""Sathagalli Bus Stand "", ""KALANYAGIRI KEB"", ""Shanthi Nagar Ground "", ""Udayagiri "", ""Vruddhashrama "", ""Five Light Circle "", ""Mysore Rural Bus Stand "", ""Hardinge Circle "", ""City Bus Stand ""]"
110A Up ,"[""City Bus Stand - PF 7"", ""Palace Bus Stop "", ""Mysore Rural Bus Stand "", ""Five Light Circle "", ""Ambedkar Circle "", ""Maruthi Complex "", ""SBM Bank "", ""MA Store "", ""Thibbadevi Temple "", ""P and T Quarters "", ""Nehru Park "", ""Udayagiri Old Police Station "", ""Kanthirava Narashimharajapura ""]"
110A Down ,"[""Kanthirava Narashimharajapura "", ""Udayagiri "", ""Nehru Park "", ""P and T Quarters "", ""Thibbadevi Temple "", ""MA Store "", ""Maruthi Complex "", ""Ambedkar Circle "", ""Masjid "", ""Five Light Circle "", ""Mysore Rural Bus Stand "", ""Hardinge Circle "", ""City Bus Stand ""]"
110B Up ,"[""City Bus Stand - PF 26"", ""Palace Bus Stop "", ""Mysore Rural Bus Stand "", ""Five Light Circle "", ""Vruddhashrama "", ""Udayagiri "", ""Shanthi Nagar Ground "", ""Central Hospital "", ""KALYANAGIRI KEB"", ""Sathagalli Bus Stand "", ""Bharath Nagar "", ""Rammanahalli "", ""Rammanahalli Bus Stand "", ""Kalisiddana Hundi "", ""Hampapura "", ""Hebbadi Hundi "", ""Hebbadi ""]"
